zip,"md, r","md, sb_c","md, dif in %","fd, r","fd, sb_c","fd, dif in %","td, sb_gr","td, sb_gc","td, sb_c","td, dif in %"
11370.0,205.0,200.0,2.47,201.0,200.0,0.5,406.0,400.0,432.0,5.17
11372.0,499.0,538.0,7.52,503.0,539.0,6.91,1002.0,1077.0,1097.0,5.98
11373.0,671.0,747.0,10.72,547.0,600.0,9.24,1218.0,1347.0,1368.0,7.63
11374.0,435.0,476.0,9.0,447.0,493.0,9.79,882.0,969.0,987.0,7.4
11375.0,619.0,675.0,8.66,825.0,920.0,10.89,1444.0,1595.0,1617.0,7.43
11377.0,646.0,704.0,8.59,576.0,644.0,11.15,1222.0,1348.0,1359.0,6.97
11378.0,339.0,362.0,6.56,319.0,337.0,5.49,658.0,699.0,724.0,6.34
11379.0,398.0,444.0,10.93,449.0,474.0,5.42,847.0,918.0,942.0,7.02
11385.0,684.0,743.0,8.27,622.0,701.0,11.94,1306.0,1444.0,1450.0,6.86
11411.0,136.0,127.0,6.84,160.0,165.0,3.08,296.0,292.0,326.0,7.44
11412.0,300.0,313.0,4.24,330.0,361.0,8.97,630.0,674.0,691.0,6.12
11413.0,255.0,281.0,9.7,273.0,296.0,8.08,528.0,577.0,594.0,7.77
11414.0,324.0,345.0,6.28,340.0,379.0,10.85,664.0,724.0,742.0,7.32
11415.0,158.0,162.0,2.5,137.0,123.0,10.77,295.0,285.0,322.0,8.2
11416.0,207.0,213.0,2.86,135.0,125.0,7.69,342.0,338.0,361.0,4.42
11417.0,245.0,257.0,4.78,213.0,228.0,6.8,458.0,485.0,504.0,6.36
11418.0,279.0,294.0,5.24,232.0,233.0,0.43,511.0,527.0,543.0,4.05
11419.0,367.0,382.0,4.01,308.0,332.0,7.5,675.0,714.0,733.0,5.47
11420.0,386.0,418.0,7.96,290.0,307.0,5.7,676.0,725.0,739.0,5.89
11421.0,287.0,307.0,6.73,269.0,275.0,2.21,556.0,582.0,609.0,6.07
11422.0,142.0,126.0,11.94,157.0,155.0,1.28,299.0,281.0,309.0,6.3
11423.0,281.0,282.0,0.36,263.0,267.0,1.51,544.0,549.0,577.0,3.95
11426.0,137.0,133.0,2.96,132.0,146.0,10.07,269.0,279.0,297.0,6.63
11427.0,197.0,196.0,0.51,194.0,200.0,3.05,391.0,396.0,412.0,3.5
